K1,K2,K3
0,50,100
0,50,101
0,50,102
0,50,103
0,50,104
0,50,105
0,50,106
0,50,107
0,50,108
0,50,109
0,50,110
0,50,111
0,50,112
0,50,113
0,50,114
0,50,115
0,50,116
0,50,117
0,50,118
0,50,119
0,50,120
0,50,121
0,50,122
0,50,123
0,50,124
0,50,125
0,50,126
0,50,127
0,50,128
0,50,129
0,50,130
0,50,131
0,50,132
0,50,133
0,50,134
0,50,135
0,50,136
0,50,137
0,50,138
0,50,139
0,50,140
0,50,141
0,50,142
0,50,143
0,50,144
0,50,145
0,50,146
0,50,147
0,50,148
0,50,149
0,51,100
0,51,101
0,51,102
0,51,103
0,51,104
0,51,105
0,51,106
0,51,107
0,51,108
0,51,109
0,51,110
0,51,111
0,51,112
0,51,113
0,51,114
0,51,115
0,51,116
0,51,117
0,51,118
0,51,119
0,51,120
0,51,121
0,51,122
0,51,123
0,51,124
0,51,125
0,51,126
0,51,127
0,51,128
0,51,129
0,51,130
0,51,131
0,51,132
0,51,133
0,51,134
0,51,135
0,51,136
0,51,137
0,51,138
0,51,139
0,51,140
0,51,141
0,51,142
0,51,143
0,51,144
0,51,145
0,51,146
0,51,147
0,51,148
0,51,149
0,52,100
0,52,101
0,52,102
0,52,103
0,52,104
0,52,105
0,52,106
0,52,107
0,52,108
0,52,109
0,52,110
0,52,111
0,52,112
0,52,113
0,52,114
0,52,115
0,52,116
0,52,117
0,52,118
0,52,119
0,52,120
0,52,121
0,52,122
0,52,123
0,52,124
0,52,125
0,52,126
0,52,127
0,52,128
0,52,129
0,52,130
0,52,131
0,52,132
0,52,133
0,52,134
0,52,135
0,52,136
0,52,137
0,52,138
0,52,139
0,52,140
0,52,141
0,52,142
0,52,143
0,52,144
0,52,145
0,52,146
0,52,147
0,52,148
0,52,149
0,53,100
0,53,101
0,53,102
0,53,103
0,53,104
0,53,105
0,53,106
0,53,107
0,53,108
0,53,109
0,53,110
0,53,111
0,53,112
0,53,113
0,53,114
0,53,115
0,53,116
0,53,117
0,53,118
0,53,119
0,53,120
0,53,121
0,53,122
0,53,123
0,53,124
0,53,125
0,53,126
0,53,127
0,53,128
0,53,129
0,53,130
0,53,131
0,53,132
0,53,133
0,53,134
0,53,135
0,53,136
0,53,137
0,53,138
0,53,139
0,53,140
0,53,141
0,53,142
0,53,143
0,53,144
0,53,145
0,53,146
0,53,147
0,53,148
0,53,149
0,54,100
0,54,101
0,54,102
0,54,103
0,54,104
0,54,105
0,54,106
0,54,107
0,54,108
0,54,109
0,54,110
0,54,111
0,54,112
0,54,113
0,54,114
0,54,115
0,54,116
0,54,117
0,54,118
0,54,119
0,54,120
0,54,121
0,54,122
0,54,123
0,54,124
0,54,125
0,54,126
0,54,127
0,54,128
0,54,129
0,54,130
0,54,131
0,54,132
0,54,133
0,54,134
0,54,135
0,54,136
0,54,137
0,54,138
0,54,139
0,54,140
0,54,141
0,54,142
0,54,143
0,54,144
0,54,145
0,54,146
0,54,147
0,54,148
0,54,149
0,55,100
0,55,101
0,55,102
0,55,103
0,55,104
0,55,105
0,55,106
0,55,107
0,55,108
0,55,109
0,55,110
0,55,111
0,55,112
0,55,113
0,55,114
0,55,115
0,55,116
0,55,117
0,55,118
0,55,119
